timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1762914851364,308,HTTP Request,200,OK,Thread Group 1-38,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,87,0,44
1762914851364,87,HTTP Request-0,301,Moved Permanently,Thread Group 1-38,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,87,0,44
1762914851452,220,HTTP Request-1,200,OK,Thread Group 1-38,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,220,0,98
1762914851464,306,HTTP Request,200,OK,Thread Group 1-39,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,83,0,42
1762914851464,83,HTTP Request-0,301,Moved Permanently,Thread Group 1-39,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,83,0,42
1762914851548,222,HTTP Request-1,200,OK,Thread Group 1-39,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,222,0,98
1762914851563,318,HTTP Request,200,OK,Thread Group 1-40,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,45
1762914851563,90,HTTP Request-0,301,Moved Permanently,Thread Group 1-40,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,45
1762914851653,228,HTTP Request-1,200,OK,Thread Group 1-40,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,228,0,98
1762914851663,308,HTTP Request,200,OK,Thread Group 1-41,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,92,0,46
1762914851663,92,HTTP Request-0,301,Moved Permanently,Thread Group 1-41,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,92,0,46
1762914851755,216,HTTP Request-1,200,OK,Thread Group 1-41,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,216,0,95
1762914851763,316,HTTP Request,200,OK,Thread Group 1-42,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,95,0,46
1762914851763,95,HTTP Request-0,301,Moved Permanently,Thread Group 1-42,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,95,0,46
1762914851859,220,HTTP Request-1,200,OK,Thread Group 1-42,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,220,0,96
1762914851860,315,HTTP Request,200,OK,Thread Group 1-43,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,94,0,48
1762914851860,94,HTTP Request-0,301,Moved Permanently,Thread Group 1-43,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,94,0,48
1762914851955,220,HTTP Request-1,200,OK,Thread Group 1-43,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,220,0,97
1762914851959,308,HTTP Request,200,OK,Thread Group 1-44,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,89,0,45
1762914851959,89,HTTP Request-0,301,Moved Permanently,Thread Group 1-44,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,89,0,45
1762914852049,218,HTTP Request-1,200,OK,Thread Group 1-44,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,218,0,92
1762914852064,312,HTTP Request,200,OK,Thread Group 1-45,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,93,0,46
1762914852064,93,HTTP Request-0,301,Moved Permanently,Thread Group 1-45,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,93,0,46
1762914852157,219,HTTP Request-1,200,OK,Thread Group 1-45,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,219,0,95
1762914852163,303,HTTP Request,200,OK,Thread Group 1-46,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,82,0,40
1762914852163,82,HTTP Request-0,301,Moved Permanently,Thread Group 1-46,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,82,0,40
1762914852245,221,HTTP Request-1,200,OK,Thread Group 1-46,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,221,0,97
1762914852260,328,HTTP Request,200,OK,Thread Group 1-47,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,94,0,46
1762914852260,94,HTTP Request-0,301,Moved Permanently,Thread Group 1-47,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,94,0,46
1762914852355,233,HTTP Request-1,200,OK,Thread Group 1-47,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,233,0,103
1762914852361,307,HTTP Request,200,OK,Thread Group 1-48,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,44
1762914852361,90,HTTP Request-0,301,Moved Permanently,Thread Group 1-48,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,44
1762914852452,216,HTTP Request-1,200,OK,Thread Group 1-48,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,216,0,92
1762914852460,307,HTTP Request,200,OK,Thread Group 1-49,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,89,0,45
1762914852460,89,HTTP Request-0,301,Moved Permanently,Thread Group 1-49,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,89,0,45
1762914852550,217,HTTP Request-1,200,OK,Thread Group 1-49,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,217,0,95
1762914852563,314,HTTP Request,200,OK,Thread Group 1-50,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,45
1762914852563,91,HTTP Request-0,301,Moved Permanently,Thread Group 1-50,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,90,0,45
1762914852654,223,HTTP Request-1,200,OK,Thread Group 1-50,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,223,0,100
1762914852663,303,HTTP Request,200,OK,Thread Group 1-51,text,true,,1242,314,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,88,0,44
1762914852663,88,HTTP Request-0,301,Moved Permanently,Thread Group 1-51,text,true,,605,157,4,4,http://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,88,0,44
1762914852751,215,HTTP Request-1,200,OK,Thread Group 1-51,text,true,,637,157,4,4,https://3zo6j8gdsb.execute-api.us-east-1.amazonaws.com/prod/test,215,0,86
